Q202735	Billy Bob Thornton
Q316591	Steve von Bergen
Q257235	MTV Movie Award for Best Kiss
Q1087777	Les Infournas
Q695419	Langegg bei Graz
Q366317	Luis A. Ferré
Q862791	Ethnikos Achna FC
Q283609	Assemini
Q583069	Crafoord Prize
Q18744	West Bromwich Albion F.C.
Q593480	Lukas Sinkiewicz
Q586540	Antoine Kohn
Q464367	Don Adams
Q336521	Eluned Morgan
Q546122	Eddystone Lighthouse
Q460199	Eduardo Aunós
Q336037	Ādolfs Skulte
Q536319	Nizhny Novgorod Governorate
Q49355	James Bryant Conant
Q1068952	St. Elsewhere
Q13014097	Thanyaburi
Q484615	Ethan Hawke
Q1116052	Bologovsky District
Q719266	Frederic Forrest
Q857938	İstanbul Başakşehir F.K.
Q21121665	Minister of Economic Affairs and Communications
Q22865	independent city of Germany
Q1160125	István Láng
Q648129	Risto Stijović
Q180142	Johannes Nicolaus Brønsted
Q128725	Hidetoshi Nakata
Q42984	Turbigo
Q42985	Ivan Pavlov
Q848792	Vacansoleil-DCM
Q1209571	President of the Philippines
Q368920	George J. Mitchell
Q561103	Kleist Prize
Q57158	Hermann Müller
Q33021757	minister of Public Instruction and Fine Arts
Q296467	Dado Pršo
Q1147380	Capec
Q935531	Einar Økland
Q4896721	Best MLS Player ESPY Award
Q898676	Miles Addison
Q37922	Nobel Prize in Literature
Q371091	Kristian Sarkies
Q29002	Félix Tisserand
Q464677	American Friends Service Committee
Q308711	Vladislav Krapivin
Q1009472	George Jellinek
Q1980962	"Hammer and Sickle" gold medal
Q168093	Pierre Gamel
Q576434	Prix de Rome
Q1328249	National Board of Review Award for Best Foreign Language Film
Q945985	Roinville
Q754841	Polar Music Prize
Q840499	Crançot
Q1307788	Marcel Benoist Prize
Q26248695	minister of Foreign Affairs of the Kingdom of Italy
Q148109	Subrahmanyan Chandrasekhar
Q337926	Primetime Emmy Award for Outstanding Animated Program
Q219075	Zoltán Várkonyi
Q219074	Zoltán Varga
Q1341193	Hammett Prize
Q790636	German Immunology Prize
Q316436	César Sampaio
Q2239191	Silesian Society for Patriotic Culture
Q218295	President of Russia
Q248577	President of the Republic
Q241043	Emmanuelle Devos
Q953877	Kabiru Akinsola
Q1027502	Calum Elliot
Q166635	Stanley Baldwin
Q387003	Sergio Bernardo Almirón
Q726122	Ashlyn Harris
Q42457	Pregnana Milanese
Q2589038	Wolfgang Paul Lecture
Q363651	Petr Velička
Q3780304	member of the general council
Q163225	Sonia Gandhi
Q42459	Pogliano Milanese
Q271825	Dorrit Willumsen
Q285655	Fort Benton
Q1050331	Football Club Molenbeek Brussels Strombeek
Q22981850	Leader of the Centre Party
Q235807	Gia Grigalava
Q370648	Fort Michilimackinac
Q644357	NBA Rookie of the Year Award
Q21259	Bietlenheim
Q21258	Dimbsthal
Q123485	Charles Sturm
Q86170	Ernst Klee
Q21256	Avolsheim
Q5068087	Chairman of Ways and Means
Q7671747	TSV 1860 München II
Q175738	Carlos Merino
Q7541057	Sloan Fellowship
Q35933	S.C. Corinthians Paulista
Q22782	Durstel
Q983571	Johnny Lever
Q16147875	Prime Minister of Tanzania
Q689455	Gressenberg
Q471507	Vitālijs Maksimenko
Q106997	Jamie Lee Curtis
Q2255212	Sweden national under-19 football team
Q506449	Jacques Tardi
Q490188	Gagarin Air Force Academy
Q44977	Pierre-Emerick Aubameyang
Q893184	Igor Țîgîrlaș
Q289613	Pisa SC
Q21786	Knutange
Q312334	Jared Borgetti
Q264932	Alexandros Tzorvas
Q1145714	Prime Minister of Ukraine
Q504626	Simrishamn Municipality
Q3414212	Hugo Award for Best Dramatic Presentation
Q130272	Chartres
Q529815	Fabian Johnson
Q130276	Kirghiz Soviet Socialist Republic
Q20653566	UCI Trade Team III
Q20653564	UCI Trade Team II
Q20653563	UCI Trade Team I
Q438268	Carlos Johnson
Q272337	Orcemont
Q417685	Akhisar Belediyespor
Q1723512	Sophie Prize
Q472416	Sead Zilić
Q22055485	Online Film & Television Association Award
Q1095070	La Haute-Chapelle
Q212166	Peru men's national football team
Q2720648	James E. Sullivan Award
Q2150573	Unterelsaß
Q1013191	Château de Montségur
Q142	France
Q44441	Al-Ahli Saudi FC
Q145	United Kingdom
Q5333410	Economic Secretary to the Treasury
Q172014	Ghana men's national football team
Q18759513	Empowering award
Q444853	Furkan Aydın
Q7243514	Primetime Emmy Award for Outstanding Reality-Competition Program
Q1534911	Henrietta Award
Q646079	Beerschot A.C.
Q332837	Stephen Byers
Q332524	Junior de Barranquilla
Q332527	Deportivo Independiente Medellín
Q542921	Vaterstetten
Q257608	Chatignonville
Q1886	Atalanta BC
Q372097	Jacob Tamarkin
Q683351	Syrianska FC
Q437866	Amber Hearn
Q1738081	Keith R. Porter Lecture
Q170703	Boca Juniors
Q636334	Schiller Memorial Prize
Q3083	Ain
Q1152925	James E. Gunn
Q315545	James Hopwood Jeans
Q13452531	Commandeur des Arts et des Lettres
Q78504	Ernst Gombrich
Q1425955	Governor of Buenos Aires Province
Q78501	Carl Ferdinand Cori
Q12005381	Lyricist Fund Award
Q1029155	Camille Claudel
Q271460	Mary Beth Hurt
Q220854	FC Krasnodar
Q21292816	Order of Kutuzov, 1st class
Q182450	George C. Scott
Q94801	Crevalcore
Q115483	Max Frisch
Q456202	Catherine Burns
Q9626	Conservative Party
Q26418	Hakodate
Q115484	Garde à Vue
Q332789	Edward Stanley, 15th Earl of Derby
Q315197	Stephen Gray
Q986280	Roberto Arco
Q13634258	British Academy Television Award for Best Male Comedy Performance
Q763402	S.P. Korolev Rocket and Space Corporation Energia
Q1132620	Corey Goodman
Q6052573	International Prize by Fyssen Foundation
Q112672	Ernest Wichner
Q328658	Le Havre AC
Q23126	Shanghai Club Building
Q6978541	National Society of Film Critics Award for Best Screenplay
Q1549591	big city
Q28835	Fields medal
Q61306	Guanajuato City
Q644418	Arnaldo Momigliano
Q2229879	Schader Award
Q940135	United States Secretary of the Navy
Q579982	Xabier Etxeita
Q270080	DR Congo men's national football team
Q191473	Vieux-Mareuil
Q489539	André Luiz Tavares
Q106669	Claude Sautet
Q933084	National Film Award for Best Music Direction
Q1143837	Elissa
Q5579758	Golden Rooster Award for Best Supporting Actor
Q456675	Francesca Archibugi
Q54988	FC Baku
Q922322	Critics' Choice Movie Award for Best Actor
Q7945315	W. Alden Spencer Award
Q5579751	Golden Rooster Award for Best Actress
Q294344	Emmanuel Joseph Sieyès
Q110053	Mats Hummels
Q20266330	Frederick William University Berlin
Q270555	Linda Villumsen
Q5119206	Novartis-Drew Award
Q315689	Andrés Scotti
Q533339	Albert Joseph Goblet d'Alviella
Q103488	Grete Weil
Q4896697	Best Jockey ESPY Award
Q224	Croatia
Q349826	Adam Ingram
Q433529	Atletico Roma F.C.
Q314770	Leandro Cufré
Q872702	Montevideo Wanderers Fútbol Club
Q314771	Maurice Sendak
Q4146869	Minister of State for Foreign Affairs
Q67597	Hans Ehard
Q1258725	Lovelace Medal
Q1331624	Ranulph Fiennes
Q49750	Socialist Unity Party of Germany
Q3857162	Grammy Award for Best Instrumental Soloist(s) Performance (with orchestra)
Q5593859	Grammy Award for Best Pop/Contemporary Gospel Album
Q348195	Daniel Ayala
Q6453962	Körber European Science Prize
Q5593877	Grammy Award for Best Chamber Music/Small Ensemble Performance
Q327238	Toronto FC
Q1711496	Grand Prize of the Danish Academy
Q217873	Vinícius Silva Soares
Q1124093	Mehrdad Minavand
Q1900	Cagliari Calcio
Q255728	Loukhsky District
Q325566	Aspach-le-Haut
Q12201477	Commander of the Order of the British Empire
Q1060844	Paymaster General
Q353818	William Wallace Campbell
Q17712	Albert Einstein Medal
Q6484474	Landesrabbiner
Q337556	Tony Wright
Q946473	Umut burugudut bulut
Q74881	Dalian
Q88184	Angelica Schwall-Düren
Q36067	Hermann Haken
Q1165991	Knuth Prize
Q152424	East Germany national football team
Q672	Tuvalu
Q519900	Bettino Ricasoli
Q175084	Thomas Buffel
Q259601	Graham Allen
Q49031	Julia King
Q1254568	Dragan Georgiev
Q404219	Tomasz Copik
Q945726	Dario Hübner
Q365144	Caitlyn Jenner
Q235651	Philip Showalter Hench
Q16958655	Juno Award for Classical Album of the Year – Vocal or Choral Performance
Q1428575	Pilot-Cosmonaut of the USSR
Q844248	Cras-sur-Reyssouze
Q603206	Les Avenières
Q518368	Bad Langensalza
Q51854	Triggiano
Q122362	Dietmar Kienast
Q51857	Valenzano
Q311676	Édgar Barreto
Q432786	Jean-Baptiste Rondelet
Q10295	Sauze d'Oulx
Q233985	Luis Federico Leloir
Q677068	Mark Hoban
Q10293	Santena
Q10292	Sant'Antonino di Susa
Q732266	Terrell Davis
Q148775	Riedisheim
Q939343	Wojciech Kowalczyk
Q350761	Mazinho
Q119677	AP NFL Offensive Player of the Year Award
Q722207	Alexandru Golban
Q227053	Zoumana Camara
Q167048	Ieke Moerdijk
Q365496	Joey Smallwood
Q611420	Steklov Institute of Mathematics
Q333692	Roy Hattersley
Q959699	Christopher Fowler
Q1333105	Robert Nisbet
Q723829	Eyal Berkovic
Q1140715	Søren Gyldendal Prize
Q1726936	canton of Reyrieux
Q879765	Björn Ziegenbein
Q1041017	Carl Werner Müller
Q316785	Greg Egan
Q459155	Edward Youde
Q689135	Sankt Wolfgang-Kienberg
Q1353569	Weilheim Literature Prize
Q5627	Ulyanovsk
Q1165377	Saint-Martin-en-Campagne
Q1093538	Citroën AX
Q1041885	Wallander
Q136433	PFC CSKA Sofia
Q1578065	Minister of Internal Affairs and Communications
Q168426	University of Münster
Q4649810	AACTA Award for Best Guest or Supporting Actor in a Television Drama
Q1789494	Norwegian Critics Prize for Literature
Q232588	Miyoshi Umeki
Q71907	Carbonara di Nola
Q4538	Jonathan Winters
Q2387559	FC Tirol Innsbruck
Q14915103	mayor of Lima
Q1016	Libya
Q1017	Aachen
Q1505018	National Book Critics Circle Award
Q11105296	Formula One World Champion
Q3873525	Denmark national under-19 football team
Q310788	Aleksandr Lyapunov
Q310034	Cristiano Lucarelli
Q43135	Kevin Rudd
Q698702	Admira Wacker
Q894573	Boston Navy Yard
Q391037	Hermann A. Korff
Q194189	sales
Q910869	Brett Studman
Q947911	Christian Albrecht Bluhme
Q263017	Sara Stridsberg
Q16190	Meursanges
Q16666	Nanjing
Q16195	Vignoles
Q707017	Martin Reim
Q17500983	Golden Horse Award for Best Leading Actress
Q21442	Mertzwiller
Q1123979	Voodoo Lounge
Q17500987	Golden Horse Award for Best Director
Q800	Costa Rica
Q21449	Natzwiller
Q1063011	Abrene District
Q44878	Jonathan Mensah
Q55004	Kurt Weill
Q12631	Meuse
Q11811941	Member of the Swiss Federal Council
Q441417	Roman Adamov
Q29279	Amancio Ortega
Q725953	Ashley MacIsaac
Q117149	Alfred Heer
Q457884	Jeanine Hennis-Plasschaert
Q706379	Tomáš Řepka
Q1634847	Satellite Award for Best Adapted Screenplay
Q273143	Françoise de Panafieu
Q458282	Yuriy Lutsenko
Q840204	Chaponnay
Q663005	Nansen Refugee Award
Q725621	Charles Lanrezac
Q736029	Nassau-Siegen
Q106508	Gérard Depardieu
Q439936	Martin Jakubko
Q959723	Nathan Doyle
Q915228	MTV Video Music Award for Best Rock Video
Q215350	Forza Italia
Q725275	Haykel Guemamdia
Q2356290	Spain national under-20 football team
Q1253391	Seka Sablić
Q291471	AEL Limassol FC
Q2277	Roman Empire
Q389766	Vincenzo Camilleri
Q437673	Gastón Ramírez
Q1088473	The Blueprint
Q1749063	Minister for Foreign Affairs of Sweden
Q387611	Football Federation of Bosnia and Herzegovina
Q4994728	Grammy Award for Best Country Album
Q830084	Brunswick-Wolfenbüttel
Q438652	Mark Birighitti
Q732856	Replot
Q460265	Ingrid Hadler
Q332645	Francesco Coco
Q844804	Cannes Film Festival Grand Prix
Q722817	Jim Rygiel
Q1543268	MacArthur Fellows Program
Q531054	Christine Antorini
Q105269	Grandmaster
Q215539	Moscow Conservatory
Q337620	Thomas Merton Award
Q10905	Eniola Aluko
Q207501	FK Vojvodina
Q1139454	The Straight Story
Q207503	Helsingborgs IF
Q192775	University of Glasgow
Q468006	Jürgen Milewski
Q2414252	Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Drama Series
Q17060634	William Bate Hardy Prize
Q305870	Abbas Hassan
Q640905	Sande
Q881258	Curtis Guild
Q314553	Robert Silverberg
Q318595	Filip Tapalović
Q59257	Montefortino
Q609926	Sportfreunde Siegen
Q59255	Sandro Raniere
Q1334578	William B. Saxbe
Q13909	Angelina Jolie
Q5280675	Directors Guild of America Award for Outstanding Directing – Feature Film
Q5280674	Directors Guild of America Award for Outstanding Directing – Drama Series
Q5280672	Directors Guild of America Award for Outstanding Directing – Daytime Serials
Q5280671	Directors Guild of America Award for Outstanding Directing – Children's Programs
Q5280670	Directors Guild of America Award for Outstanding Directing – Comedy Series
Q313780	Mehdi Mahdavikia
Q2567963	Medal "For Merit in Space Exploration"
Q1841363	Jan Campert Prize for poetry
Q21869	Kuntzig
Q41375	BAFTA Award for Best Original Screenplay
Q93496	Johann Josef Loschmidt
Q981203	Jean-Pierre Bacri
Q353671	Michael E. Phelps
Q964947	Mateusz Możdżeń
Q746259	Asta Scheib
Q311317	Isaac Stern
Q548998	Takashi Atōda
Q23907628	ambassador of Germany to Iraq
Q297134	Hipólito Yrigoyen
Q665720	Leoben District
Q176939	Morten Gunnar Larsen
Q97936	Heidi Genée
Q5097006	Chief of Army Staff
Q216134	Upton Sinclair
Q61247	Jan Assmann
Q216131	Fredrikstad FK
Q675348	Sam Farr
Q379414	Mariano González
Q62443	Marion Gräfin Dönhoff
Q431092	Helen Caldicott
Q67166	Christian Ernst Stahl
Q780177	Committee on the Affairs of the European Union
Q24534543	APA Award for Outstanding Lifetime Contributions to Psychology
Q175877	William H. Crawford
Q928478	Joe Keenan
Q6314079	Juno Award for Group of the Year
Q208700	Aiden McGeady
Q1087177	Aingeray
Q809027	Barry Desmond
Q125427	Eugen David
Q170572	Alec Baldwin
Q191922	Frederick Reines
Q1101319	Millery
Q505771	Per Pedersen
Q2505705	Speaker of the Senate
Q40688	Yanis Varoufakis
Q204854	première
Q148540	Republic of Florence
Q648593	Edmund James Flynn
Q620499	Tokyo Verdy
Q48241	Ceggia
Q325711	Yves Rocard
Q844153	Hungarian University of Fine Arts
Q5878	Gabriel García Márquez
Q727193	International Children's Peace Prize
Q482449	Suwon Samsung Bluewings FC
Q333193	Anthony Barber
Q714198	Dwight Tiendalli
Q169301	Benedict XI
Q264532	Luciano Sánchez
Q394688	Kuvshinovsky District
Q309456	FC Lausanne-Sport
Q10277	San Pietro Val Lemina
Q930110	Salvador Artigas
Q1585689	Harnack medal
Q192959	Minsk Region
Q15464509	Grand Officer of the National Order of Quebec
Q7669610	TCA Award for Individual Achievement in Comedy
Q21164	Order of Merit of the Federal Republic of Germany
Q61862	Eduard Zeller
Q3238289	Lieutenant Governor of Quebec
Q447658	Louise Welsh
Q607190	Paolo Virzì
Q381618	Jocelyn Roux
Q527550	Jorge Jesus
Q975565	Gregorio Honasan
Q462237	Javier de Pedro
Q489705	Academy Juvenile Award
Q446618	Irene Dalby
Q14103	Champagne-Ardenne
Q293343	Cathy McMorris Rodgers
Q484968	Louis Saha
Q490963	Campofelice di Fitalia
Q311205	Chen Guangcheng
Q18103	Mijoux
Q6866301	Minister of Railways
Q129047	Saint-Constant
Q360984	Adolf Birkhofer
Q499451	Rutgers University
Q188357	Ian Hacking
Q18080427	Order "For Merit to the Fatherland", 3rd class
Q18080423	Order "For Merit to the Fatherland", 4th class
Q22886	Sand
Q22881	Prince-Bishop
Q39018	emperor
Q89173	Karl Schlögel
Q7379734	Aachen
Q934854	Mauro Biello
Q18200478	Order of the Patriotic War 2nd class
Q1188661	PEN/Faulkner Award for Fiction
Q1188660	Jean-Claude Mignon
Q227488	Saint-Sauveur
Q1320557	Inverted Collar and Tie
Q189519	Zeng Qinghong
Q112023	Heinrich Lammasch
Q975697	Charles Bixler Heiser
Q661726	Épinay-sur-Orge
Q11595924	Director-General of the Science and Technology Agency of Japan
Q713719	Bruno César
Q1478325	Female football player of the year
Q599254	Pulitzer Prize for History
Q185667	Turing Award
Q1506059	Modern Language Association
Q221882	Newell's Old Boys
Q253019	Ortsteil
Q501470	Töreboda Municipality
Q1455666	Fresenius Prize
Q951342	Samuel Kuffour
Q661895	Hubie Brown
Q723198	Roberto de Assis Moreira
Q89390	Carl Auer von Welsbach
Q239123	Ermont
Q333991	John Taylor
Q10333	Valencia CF
Q541109	Michele Bonelli
Q1303374	Svein Nyhus
Q921972	Le Thuit-Anger
Q844587	Prime Minister of Spain
Q790656	Avery John
Q10339	Venaria Reale
Q1270152	Denmark national under-21 football team
Q363637	President of the Bundesrat of Germany
Q241064	Villepinte
Q599434	Feltrinelli Prize
Q16272	Province of Sassari
Q1305236	Uwe Dick
Q599439	John Wood
Q334411	Donald Anderson, Baron Anderson of Swansea
Q763757	Jógvan Sundstein
Q1351746	Skieur d'or
Q442466	Alexander Varshavsky
Q663492	Eurocontrol
Q42308	Kharkiv
Q217070	Laurent Fabius
Q370116	James Glimm
Q5305712	Drama Desk Award for Outstanding Featured Actor in a Play
Q679788	Manuel Pardo
Q331599	Dino Fava
Q716593	Jacob Murey
Q5305716	Drama Desk Award for Outstanding Lyrics
Q21270	Kolbsheim
Q5305719	Drama Desk Award for Outstanding Musical
Q779531	canton of Saint-Aubin-du-Cormier
Q1133772	Napoleon Dynamite
Q603133	Szombathelyi Haladás
Q855809	Cerezo Osaka
Q914394	Morvillars
Q234190	Dalia Itzik
Q126898	Antibes
Q855401	Júbilo Iwata
Q932932	Ljubinko Drulović
Q51067	Lenin Prize
Q27306	Kingdom of Prussia
Q3326922	Premio de la Crítica Española
Q1238110	Dominion
Q1003541	Frank Wiafe Danquah
Q87640	Gerhard Glogowski
Q615077	John Healey
Q1464	Benigno Aquino III
Q429606	Barak Yitzhaki
Q562637	Borja Fernández
Q1463	Ferdinand Marcos
Q433230	Panthrakikos F.C.
Q343080	Salvador Cabañas
Q952457	Nizhyn
Q4453555	Boris Shchukin Theatre Institute
Q9259	World Heritage Site
Q272318	Edward Timpson
Q5545	Penza Oblast
Q612860	Gad Yaacobi
Q2044	Florence
Q1412480	Karl Ziegler Prize
Q1093709	Mikhail Pogodin
Q1240090	Donald Lynden-Bell
Q1509201	AVN Hall of Fame
Q877013	Felix Luz
Q838714	Bressolles
Q1257399	Saturn Award for Best Supporting Actress
Q1334509	Trevor Nunn
Q141358	Lyubertsy
Q734063	Linières-Bouton
Q154804	Leipzig University
Q11700328	Universal Basque Prize
Q1084695	Christoph Cemernjak
Q932679	Marcin Kuźba
Q5370843	Emerson-Thoreau Medal
Q511376	Brønderslev Municipality
Q287900	Pabillonis
Q44464	Rudi Völler
Q43303	Malcolm X
Q2402747	Brazil national under-17 football team
Q6500774	Laurence Olivier Award for Best Actress
Q6500775	Laurence Olivier Award for Best Actress in a Musical
Q1575780	Hannah Arendt Prize
Q6500772	Laurence Olivier Award for Best Actor in a Supporting Role
Q683400	Carl Vaugoin
Q256531	Iman
Q388826	Aftenposten Gold Medal
Q905490	János Herskó
Q147987	Muntzenheim
Q78562	Clemens von Pirquet
Q120649	Rawlings Gold Glove Award
Q6974223	National Malala Peace Prize
Q315565	Kiichi Miyazawa
Q315561	Noboru Takeshita
Q4582226	Oslo City Culture Award
Q614296	Jaume Cabré
Q1320315	Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Supporting Role
Q490146	Shin Seung Hun
Q3473896	Satellite Award for Best Supporting Actor – Series, Miniseries or Television Film
Q1010812	Tula Governorate
Q25223	president of Germany
Q3788522	Grammy Award for Best Jazz Performance
Q482931	Ferenc Puskás
Q25227	Netherlands Antilles
Q965942	Le Margnès
Q127267	Attenberg
Q1017841	Bénévent-et-Charbillac
Q2544859	Independent Spirit Award for Best Male Lead
Q920263	Hertha BSC II
Q589517	Villers-la-Montagne
Q648699	Juan Castillo Balcázar
Q1318628	Francesco Battaglia
Q8863	Klaus Wowereit
Q2544851	Independent Spirit Award for Best Female Lead
Q413223	thermonatrite
Q302954	Austria national under-18 football team
Q572719	Heinrich Heine Prize
Q115600	Kurt Furgler
Q929359	Miodrag Pavlović
Q919604	Denise Nicholas
Q159409	Louise Bourgeois
Q11677	Lindsay Davenport
Q44071	Yuri Andropov
Q735334	Saint-Bon-Tarentaise
Q223620	Deportivo Alavés
Q787320	BFC Siófok
Q1074995	Zhou Dongyu
Q247424	Nikos Dendias
Q456614	Kirk Acevedo
Q456617	Nolito
Q3841592	MTV Europe Music Award for Best Album
Q737781	Commeny
Q7460600	Shadow Secretary of State for Transport
Q200499	Muhammad Zia-ul-Haq
Q905650	Château d'Oiron
Q270204	Nalo Hopkinson
Q1334037	Eltaj Safarli
Q799939	Biarozaŭka
Q1320782	Rory Kinnear
Q22681119	Crystal Bike for best young rider
Q84	London
Q236315	Kateřina Neumannová
Q736783	Gintaras Staučė
Q1175594	David McCreery
Q259446	Katy Jurado
Q1285504	Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series
Q674778	Emin Minaret
Q1163250	La Jumellière
Q1258708	IZA Prize in Labor Economics
Q993172	Bruno Coutinho
Q1459443	Grammy Award for Best R&B Song
Q1757366	Saturn Award for Best Music
Q250975	Álvaro de Figueroa, 1st Count of Romanones
Q13405496	Diploma of Business Administration
Q590307	Romano Voltolina
Q1928373	Michael L. Printz Award
Q543217	Sherburne Wesley Burnham
Q641316	Golden Raspberry Award for Worst Supporting Actor
Q73523	Clemens Winkler
Q133160	Pritzker Architecture Prize
Q967828	János Ferencsik
Q325508	Ammerschwihr
Q13139	Fermo
Q1060867	Chamique Holdsclaw
Q41417	Academy Award for Best Writing, Original Screenplay
Q201732	Robert Graves
Q439783	Jakub Wierzchowski
Q568957	Wiesenhof-Felt
Q1098631	Ivan Radoš
Q337579	Académie royale de peinture et de sculpture
Q69159	Wolfgang Staudte
Q7788	Khabarovsk Krai
Q326240	Ross Barkley
Q186188	Teenage Dream
Q29790205	Philological Section of the Institute for Catalan Studies
Q385378	construction
Q482617	Jeju SK FC
Q20198851	Governor of Florida
Q290806	Asociación Deportiva Carmelita
Q382883	Eugen Merzbacher
Q410267	melanterite
Q636181	Pulitzer Prize for Breaking News Reporting
Q260079	Vitray
Q265935	Nick Brown
Q286889	Fiera di Primiero
Q568042	Archil Arveladze
Q1960603	Kurchatov Medal
Q564093	Annabelle Ewing
Q58733	CONMEBOL
Q192912	Stephen Fry
Q99450	Dietmar Bartsch
Q450317	Chien-Shiung Wu
Q106291	Academy Award for Best Supporting Actor
Q470376	Mordechai Spiegler
Q522283	Red Star F.C.
Q288178	Segariu
Q311692	Rafael Moneo
Q1535326	Golden Kraepelin Medal
Q340757	La Maddalena
Q19057186	Member of the Legislative Assembly of the Province of Canada
Q168225	Hebron
Q12969145	President of Argentina
Q879747	Markus Schroth
Q440565	André Marie
Q1256	Liguria
Q2536791	W. Wallace McDowell Award
Q1255	Kosovo and Metohija
Q1159081	Dan Hennah
Q23059849	Hans Christian Andersen Award for illustration
Q693479	Domgermain
Q13014111	Phra Nakhon Province
Q218022	Alain Resnais
Q686604	Damian Bellón
Q513237	Kocaelispor
Q3113385	Grammy Award for Best Musical Theater Album
Q895754	Hegel Prize
Q202847	Fred Ho
Q875120	SC Cambuur
Q710334	Arthur Laurents
Q639723	BK Häcken
Q13406835	approved mineral and/or valid name (A)
Q1027200	Calle 13
Q729235	Sōtarō Yasui
Q1635307	Satellite Award for Best Supporting Actor – Motion Picture
Q19573	Bury F.C.
Q134651	Grayvoron
Q225085	César Award for Best Cinematography
Q7752662	Murchison Fund
Q1726363	canton of Montrevel-en-Bresse
Q364698	Cercle Brugge K.S.V.
Q727443	Mark Oliphant
Q12770	Somme
Q719125	Richard Gough
Q18241891	Metropolitan City of Naples
Q2347975	Governor of New York
Q895756	Edmund Adamkiewicz
Q194167	Armix
Q384258	Jari Vanhala
Q24948	Fontaine-Française
Q194160	Clamart
Q365346	Adolph Frederick Pauli
Q369134	Josef Kaufman
Q204978	Antonín Panenka
Q21429	Eichhoffen
Q1233326	Dobloug Prize
Q369113	Daniel Lapaine
Q86709	Matthias Wahls
Q21424	Osthouse
Q822	Lebanon
Q262742	Hilary Benn
Q1011564	Golden Globe Award for Best Actress in a Motion Picture – Musical or Comedy
Q188656	FK Partizan
Q56016	Katharine Hepburn
Q487155	Hugo Sánchez
Q712851	Oliver Wallace
Q275408	Henry of Bohemia
Q49086	Simon Wiesenthal
Q153136	Habsburg monarchy
Q153132	Władysław Sikorski
Q723383	Luis Oliveira
Q1781	Budapest
Q838522	Béréziat
Q4992254	Grammy Award for Best Music Film
Q1724875	canton of Champagne-en-Valromey
Q2256	Birmingham
Q5207	Stavropol Krai
Q77529	Ida Noddack
Q831408	La Mothe-Achard
Q276538	Eurocorps
Q105060	Sosnowiec
Q932121	Champ-sur-Layon
Q177350	Jacob Dolson Cox
Q18984329	member of the Legislative Assembly of New Brunswick
Q56009	Gina Lollobrigida
Q180749	Petter Northug Jr.
Q817362	Vendeville
Q274803	Élson
Q1627408	Satellite Award for Best Actor – Motion Picture
Q1784838	Tony Award for Best Book of a Musical
Q756329	Atlantic City
Q786075	Château de Brissac
Q996644	Brüder-Grimm-Preis der Philipps-Universität Marburg
Q606113	Archie Gemmill
Q83286	Socialist Federal Republic of Yugoslavia
Q93923	Order of King Abdulaziz al Saud
Q80955	Santos F.C.
Q1061541	A Prophet
Q80958	Botafogo F.R.
Q192756	Sainte-Enimie
Q698944	Simon Cziommer
Q638384	Mitsubishi-Jartazi
Q529391	Hussein Onn
Q192750	Repaix
Q538073	Dénes Rósa
Q231904	Diarville
Q332664	Willem II
Q722835	Edvard Westermarck
Q196444	Saint-Aubin-du-Cormier
Q499245	Andreas Lasnik
Q492560	IIFA Award for Best Music Director
Q1072224	Chico and Rita
Q238881	Péter Forgács
Q2291862	FIFA Ballon d'Or
Q2419887	Mogi Mirim Esporte Clube
Q2925687	BAFTA Award for Best Film Not in the English Language
Q283824	Borja Valero
Q286671	Santadi
Q114125	Rogério Gaúcho
Q604757	Fabrice Fiorèse
Q315999	Joseph Chamberlain
Q59271	Moresco
Q443839	Alton Lennon
Q14475832	ship commissioning
Q21848	Vaxy
Q705562	Raleb Majadele
Q192138	Ibrahim Rugova
Q370838	Walter Mazzarri
Q157839	Christian Lell
Q3120	Jura
Q746272	British Virgin Islands Football Association
Q244746	Larsa
Q547296	Joel Robles
Q128823	John Ambrose Fleming
Q170373	Christopher Wren
Q463179	Fallingwater
Q530923	Primetime Emmy Award for Outstanding Guest Actor in a Comedy Series
Q973230	Tiago Filipe Figueiras Gomes
Q957416	Solomon Feferman
Q183210	Brandão
Q3132714	Henry Daselme
Q845884	NBA Defensive Player of the Year Award
Q290322	Malaika Arora
Q1967731	National Society of Film Critics Award for Best Actor
Q926677	Trond Andersen
Q2933979	California Historical Landmark
Q560163	Anupam Kher
Q747899	Misérieux
Q82846	Scarperia
Q7959	Luzhsky District
Q1087152	Christos Papoutsis
Q310318	David Strathairn
Q928764	parliamentary group leader
Q203600	Zimmerbach
Q957733	Alexey Fyodorovich Orlov
Q1146037	Danish Critics Prize for Literature
Q31487	Kraków
Q1181574	Deborah S. Jin
Q1008944	Les Abrets
Q244295	Saint-Martin-au-Laërt
Q1517076	Hamburger SK
Q920783	Royal Gold Medal
Q55426	Glauber Rocha
Q29034484	Reich Chancellor in the Weimar Republic
Q55420	Fred Zinnemann
Q80222	Joseph-Louis Lagrange
Q390825	Hywel Francis
Q17149573	Karl Spencer Lashley Award
Q947669	Château du Moulin
Q204877	Saint-Julien-de-Bourdeilles
Q19473	Huddersfield Town A.F.C.
Q19470	Derby County F.C.
Q234888	Vera Rubin
Q19477	Hull City A.F.C.
Q713409	Jacques Rozier
Q11194	Sarajevo
